,nombre,precio,vendido,enlace
103,Tarjeta De Video Rtx 2080 Ti 11gb Asus Rog Strix Ddr6 /v /v,"30,519","</div>""",https://articulo.mercadolibre.com.mx/MLM-670511003-msi-t-video-asus-rog-strix-nvidia-geforce-rtx-2080ti-oc-11g-_JM
104,Tarjeta De Video Asus Geforce Rtx 2080 8 Gb Gddr6,"22,999",Veracruz,https://articulo.mercadolibre.com.mx/MLM-656549902-t-video-gigabyte-nvidia-rtx2080-8gb-gddr6-gv-n2080gaming-oc--_JM
105,Tarjeta De Video Msi Geforce Rtx 2080 Ventus Oc 8gb Ddr6,"22,800",Veracruz,https://articulo.mercadolibre.com.mx/MLM-656549902-t-video-gigabyte-nvidia-rtx2080-8gb-gddr6-gv-n2080gaming-oc--_JM
106,Asus Geforce Rtx 2080 O8g Rog Strix Oc Edition Gddr6 Hdmi Dp,"33,665",Tamaulipas,https://articulo.mercadolibre.com.mx/MLM-657424765-msi-t-video-pny-nvidia-rtx-2080-ti-11gb-gddr6-xlr8-vcg2080t-_JM
107,Tarjeta Gráfica Evga Geforce Rtx 2080 Ti 11gb Gddr6,"40,099",Nuevo León,https://articulo.mercadolibre.com.mx/MLM-657424765-msi-t-video-pny-nvidia-rtx-2080-ti-11gb-gddr6-xlr8-vcg2080t-_JM
108,Tarjeta Gráfica Asus Rog Strix Geforce Rtx 2080 8g Gddr6,"22,899",Nuevo León,https://articulo.mercadolibre.com.mx/MLM-657424774-msi-t-video-gigabyte-nvidia-rtx-2080-gaming-white-8gb-gddr6-_JM
109,Tarjeta De Video Evga 08g-p4-2182-kr Rtx 2080 Xc Gaming,"21,063",Jalisco,https://articulo.mercadolibre.com.mx/MLM-657424774-msi-t-video-gigabyte-nvidia-rtx-2080-gaming-white-8gb-gddr6-_JM
110,Rtx 2080 Zotac. $13649 En Otra Pub.,"16,499",Usado - Guanajuato,https://articulo.mercadolibre.com.mx/MLM-658052085-tvideo-asus-geforce-rtx-2080-turbo-8gbddr6256bit-turbo-rt-_JM
111,Tarjeta De Video Nvidia Geforce Rtx 2080 Asus Dual Oc 8gb,"22,999",Nuevo León,https://articulo.mercadolibre.com.mx/MLM-658052085-tvideo-asus-geforce-rtx-2080-turbo-8gbddr6256bit-turbo-rt-_JM
112,Tarjeta De Video Asus Geforce Rtx 2080 Turbo 8gb/ddr6/256bit,"24,122",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-645244294-gigabyte-rtx-2080-8gb-gddr6-gaming-version-oc-rgb-fusion-_JM
113,Tarjeta De Video Msi Geforce Rtx 2080 Ventus Oc 8gb/ddr6/256,"23,900",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-645244294-gigabyte-rtx-2080-8gb-gddr6-gaming-version-oc-rgb-fusion-_JM
114,Tarjeta Video Geforce Gigabyte Rtx 2080 Gaming Oc 8gb Gddr6,"21,300",1 vendido - Estado De México,https://articulo.mercadolibre.com.mx/MLM-645241833-evga-rtx-2080-8gb-gddr6-xc-gaming-rgb-led-08g-p4-2182-kr-msi-_JM
115,Msi Rtx Ventus 2080 Oc 8gb Gddr6 Factura Mexicana,"15,999",Usado - Yucatán,https://articulo.mercadolibre.com.mx/MLM-645241833-evga-rtx-2080-8gb-gddr6-xc-gaming-rgb-led-08g-p4-2182-kr-msi-_JM
116,Tarjeta Video Geforce Asus Rtx 2080 Dual Oc 8gb Gddr6,"19,900",Estado De México,https://articulo.mercadolibre.com.mx/MLM-645244345-gigabyte-rtx-2080-8gb-gddr6-gaming-version-oc-rgb-fusion-msi-_JM
117,Tarjeta Video Geforce Evga Rtx 2080 Ultra Gaming 8gb Gddr6,"22,100",Estado De México,https://articulo.mercadolibre.com.mx/MLM-645244345-gigabyte-rtx-2080-8gb-gddr6-gaming-version-oc-rgb-fusion-msi-_JM
118,Tarjeta De Video Nvidia Rtx 2080ti 11gb Gaming Edition Rgb,"26,500",Baja California,https://articulo.mercadolibre.com.mx/MLM-668387656-tarjeta-grafica-gigabyte-geforce-rtx-2080-gaming-oc-8gb-_JM
119,Rtx 2080 8gb Gddr6 Zotac Amp Tarjeta De Video Nvidia,"22,990",1 vendido - Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-668387656-tarjeta-grafica-gigabyte-geforce-rtx-2080-gaming-oc-8gb-_JM
120,Rtx 2080 Asus Rog Strix Posible Cambio,"17,499",Usado - Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-650963039-tarjeta-de-video-zotac-geforce-rtx-2080-8gb-blower-_JM
121,Amp Tarjeta Zotac Rtx 2080 Ti 11gb Gddr6 Zt-t20810f-10p,"26,500",Sinaloa,https://articulo.mercadolibre.com.mx/MLM-650963039-tarjeta-de-video-zotac-geforce-rtx-2080-8gb-blower-_JM
122,Evga Geforce Rtx 2080 Ti,"26,999",Jalisco,https://articulo.mercadolibre.com.mx/MLM-650862423-tarjeta-de-video-pny-geforce-rtx-2080-8gb-xlr8-gaming-oc-ed-_JM
123,Rtx 2080 Gigabyte Winforce Con Artic Xtreme Vi,"14,999",Usado - Estado De México,https://articulo.mercadolibre.com.mx/MLM-650862423-tarjeta-de-video-pny-geforce-rtx-2080-8gb-xlr8-gaming-oc-ed-_JM
124,Zotac Rtx 2080 Amp Edition 8gb,"21,500",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-645520284-tarjeta-de-video-asus-rtx-2080-dual-8gb-_JM
125,Rtx 280 Zotac Amp,"14,500",Usado - Estado De México,https://articulo.mercadolibre.com.mx/MLM-645520284-tarjeta-de-video-asus-rtx-2080-dual-8gb-_JM
126,Rtx 2080 8gb Gddr6,"17,500",Usado - Chihuahua,https://articulo.mercadolibre.com.mx/MLM-650354384-tarjeta-de-video-nvidia-geforce-rtx-2080-pny-xlr8-gaming-_JM
127,Tarjeta De Video Evga Rtx 2080 Xc 8gb Ddr6,"19,000",Estado De México,https://articulo.mercadolibre.com.mx/MLM-650354384-tarjeta-de-video-nvidia-geforce-rtx-2080-pny-xlr8-gaming-_JM
128,Tarjeta De Video Zotac Rtx 2080 Ti,"34,900",Durango,https://articulo.mercadolibre.com.mx/MLM-646248800-rtx-2080-8gb-gddr6-gigabyte-tarjeta-de-video-nvidia-a-meses-_JM
129,Tarjeta De Video Zotac Rtx 2080 Amp,"21,600",Durango,https://articulo.mercadolibre.com.mx/MLM-646248800-rtx-2080-8gb-gddr6-gigabyte-tarjeta-de-video-nvidia-a-meses-_JM
130,Zotac Gaming Geforce Rtx 2080 Ti Amp 11gb Gddr6 352-bit Spec,"31,000",Coahuila,https://articulo.mercadolibre.com.mx/MLM-682186288-tarjeta-de-video-nvidia-rtx-2080ti-11gb-hot-sale-mas-barata-_JM
131,Evga Geforce Rtx 2080 Ti Black Edition Gaming!! Super Precio,"30,000",Coahuila,https://articulo.mercadolibre.com.mx/MLM-682186288-tarjeta-de-video-nvidia-rtx-2080ti-11gb-hot-sale-mas-barata-_JM
132,Tarjeta De Video Gigabyte Nvidia Geforce Rtx 2080 Gaming Oc,"19,312",Estado De México,https://articulo.mercadolibre.com.mx/MLM-663433681-tarjeta-de-video-nvidia-geforce-rtx-2080-8gb-gddr6-_JM
