,nombre,precio,vendido,enlace
26,Tarjeta De Video Pny Geforce Rtx 2080 8gb Xlr8 Gaming Oc Msi,"19,499",Puebla,https://articulo.mercadolibre.com.mx/MLM-665723552-tarjeta-de-video-msi-geforce-rtx-2080-sea-hawk-x-8gb-ddr6-_JM
27,Rtx 2080 8gb Gddr6 Zotac Tarjeta De Video Nvidia,"22,990",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-665723552-tarjeta-de-video-msi-geforce-rtx-2080-sea-hawk-x-8gb-ddr6-_JM
28,Rtx 2080 Msi Ventus 8g Oc Tarjeta Nvidia - Envío Gratis,"23,490",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-663386570-tarjeta-de-video-gamer-strix-rtx-2080ti-meses-sin-intereses-_JM
29,Rtx 2080 Msi Sea Hawk Enfriamiento Líquido - Envío Gratis,"24,900",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-663386570-tarjeta-de-video-gamer-strix-rtx-2080ti-meses-sin-intereses-_JM
30,Tarjeta De Video Zotac Geforce Rtx 2080 Blower Zt-t20800j-10,"17,999",Michoacán,https://articulo.mercadolibre.com.mx/MLM-651936543-tarjeta-video-geforce-evga-rtx-2080-ultra-gaming-8gb-gddr6-_JM
31,Rtx 2080 8gb Gddr6 Gigabyte Tarjeta Video Nvidia Envio Grati,"22,790",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-651936543-tarjeta-video-geforce-evga-rtx-2080-ultra-gaming-8gb-gddr6-_JM
32,Rtx 2080 Msi Ventus 8g Oc - Meses Sin Intereses Envío Gratis,"24,290",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-663386707-tarjeta-de-video-gamer-strix-rtx-2080ti-envio-gratis-_JM
33,Rtx 2080 8gb Gddr6 Evga Xc Ultra Nvidia - Envío Gratis,"24,300",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-663386707-tarjeta-de-video-gamer-strix-rtx-2080ti-envio-gratis-_JM
34,Tarjeta De Video Asus Nvidia Geforce Rtx 2080 Dual Oc  8gb 2,"21,000",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-675309882-asus-rog-strix-rtx-2080ti-a11g-gaming-11gb-gddr6-_JM
35,Tarjeta De Video Zotac Geforce Rtx 2080 Ti Amp Zt-t20810d-10,"31,159",Michoacán,https://articulo.mercadolibre.com.mx/MLM-675309882-asus-rog-strix-rtx-2080ti-a11g-gaming-11gb-gddr6-_JM
36,Rtx 2080 8gb Gddr6 Evga Xc Ultra A Meses Sin Intereses,"25,160",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-651243376-msi-t-video-msi-nvidia-rtx-2080-sea-hawk-x-8gb-gddr6-enfria-_JM
37,T. Video Asus Rog Strix Nvidia Geforce Rtx 2080ti Advanced 1,"29,749",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-651243376-msi-t-video-msi-nvidia-rtx-2080-sea-hawk-x-8gb-gddr6-enfria-_JM
38,Tarjeta De Video Nvidia Geforce Rtx 2080 Asus Dual Oc 8gb,"22,999",Nuevo León,https://articulo.mercadolibre.com.mx/MLM-651915164-tarjeta-video-geforce-asus-rtx-2080-dual-oc-8gb-gddr6-_JM
39,Msi T.video Asus Geforce Rtx 2080 Turbo 8gb/ddr6/256bit Turb,"21,018",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-651915164-tarjeta-video-geforce-asus-rtx-2080-dual-oc-8gb-gddr6-_JM
40,T. Video Pny Nvidia Rtx 2080 Ti 11gb Gddr6 Xlr8 Vcg2080t11tf,"31,970",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-676756801-tarjeta-de-video-nvidia-rtx-2080-zotac-amp-_JM
41,Msi T. Video Asus Rog Strix Nvidia Geforce Rtx 2080ti Advanc,"31,300",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-676756801-tarjeta-de-video-nvidia-rtx-2080-zotac-amp-_JM
42,T. Video Msi Nvidia Rtx 2080 Sea Hawk X 8gb Gddr6 Enfriamien,"25,042",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-649746804-rtx-2080-msi-sea-hawk-enfriamiento-liquido-meses-sin-interes-_JM
43,T. Video Zotac Rtx 2080ti Amp 11gb Gddr6 Zt-t20810d-10p,"30,486",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-649746804-rtx-2080-msi-sea-hawk-enfriamiento-liquido-meses-sin-interes-_JM
44,Msi T. Video Zotac Rtx 2080ti Amp 11gb Gddr6 Zt-t20810d-10p,"32,076",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-649962183-tarjeta-de-video-pny-geforce-rtx-2080-8gb-xlr8-gaming-oc-_JM
45,T. Video Asus Rog Strix Nvidia Geforce Rtx 2080ti Oc 11gb Gd,"29,738",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-649962183-tarjeta-de-video-pny-geforce-rtx-2080-8gb-xlr8-gaming-oc-_JM
46,T. Video Asus Dual Nvidia Rtx 2080ti 11gb Gddr6 Dual-rtx2080,"29,377",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-639687953-rtx-2080-8gb-gddr6-zotac-amp-tarjeta-de-video-nvidia-_JM
47,T. Video Zotac Nvidia Geforce Rtx 2080 Blower 8gb Gddr6 Zt-t,"17,057",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-639687953-rtx-2080-8gb-gddr6-zotac-amp-tarjeta-de-video-nvidia-_JM
48,T. Video Gigabyte Nvidia Rtx 2080 Gaming White 8gb Gddr6 Gv-,"21,416",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-661694157-tarjeta-de-video-evga-nvidia-geforce-rtx-2080-xc-gaming-8gb-_JM
49,T. Video Asus Dual Nvidia Rtx 2080 8gb Gddr6 Dual-rtx2080-o8,"19,624",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-661694157-tarjeta-de-video-evga-nvidia-geforce-rtx-2080-xc-gaming-8gb-_JM
50,Msi T. Video Asus Rog Strix Nvidia Geforce Rtx 2080ti Oc 11g,"31,288",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-649962227-tarjeta-de-video-pny-geforce-rtx-2080-8gb-xlr8-gaming-oc-msi-_JM
51,T Video Gigabyte Nvidia Rtx2080 8gb Gddr6 Gv-n2080gaming Oc-,"19,727",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-649962227-tarjeta-de-video-pny-geforce-rtx-2080-8gb-xlr8-gaming-oc-msi-_JM
52,Msi T. Video Pny Nvidia Rtx 2080 Ti 11gb Gddr6 Xlr8 Vcg2080t,"33,637",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-639687882-rtx-2080-8gb-gddr6-zotac-tarjeta-de-video-nvidia-_JM
53,Msi T. Video Gigabyte Nvidia Rtx 2080 Gaming White 8gb Gddr6,"22,533",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-639687882-rtx-2080-8gb-gddr6-zotac-tarjeta-de-video-nvidia-_JM
54,T.video Asus Geforce Rtx 2080 Turbo 8gb/ddr6/256bit Turbo-rt,"19,977",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-649748053-rtx-2080-msi-ventus-8g-oc-tarjeta-nvidia-envio-gratis-_JM
55,Gigabyte Rtx 2080 8gb Gddr6 Gaming Version Oc Rgb Fusion,"21,719",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-649748053-rtx-2080-msi-ventus-8g-oc-tarjeta-nvidia-envio-gratis-_JM
56,Evga Rtx 2080 8gb Gddr6 Xc Gaming Rgb Led 08g-p4-2182-kr Msi,"23,292",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-649746894-rtx-2080-msi-sea-hawk-enfriamiento-liquido-envio-gratis-_JM
57,Gigabyte Rtx 2080 8gb Gddr6 Gaming Version Oc Rgb Fusion Msi,"22,903",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-649746894-rtx-2080-msi-sea-hawk-enfriamiento-liquido-envio-gratis-_JM
58,Tarjeta Gráfica Gigabyte Geforce Rtx 2080 Gaming Oc 8gb,"26,006",Estado De México,https://articulo.mercadolibre.com.mx/MLM-677028690-tarjeta-de-video-zotac-geforce-rtx-2080-blower-zt-t20800j-10-_JM
59,Tarjeta De Video Zotac Geforce Rtx 2080 8gb Blower,"17,999",3 vendidos,https://articulo.mercadolibre.com.mx/MLM-677028690-tarjeta-de-video-zotac-geforce-rtx-2080-blower-zt-t20800j-10-_JM
60,Tarjeta De Video Pny Geforce Rtx 2080 8gb Xlr8 Gaming Oc Ed,"20,299","</div>""",https://articulo.mercadolibre.com.mx/MLM-646248742-rtx-2080-8gb-gddr6-gigabyte-tarjeta-video-nvidia-envio-grati-_JM
61,Tarjeta De Video Asus Rtx 2080 Dual 8gb,"21,199",Baja California,https://articulo.mercadolibre.com.mx/MLM-646248742-rtx-2080-8gb-gddr6-gigabyte-tarjeta-video-nvidia-envio-grati-_JM
62,Tarjeta De Video Nvidia Geforce Rtx 2080 Asus Dual Oc 8gb,"22,999",Nuevo León,https://articulo.mercadolibre.com.mx/MLM-649748000-rtx-2080-msi-ventus-8g-oc-meses-sin-intereses-envio-gratis-_JM
63,Tarjeta De Video Nvidia Geforce Rtx 2080 Pny Xlr8 Gaming,"21,759",Nuevo León,https://articulo.mercadolibre.com.mx/MLM-649748000-rtx-2080-msi-ventus-8g-oc-meses-sin-intereses-envio-gratis-_JM
64,Rtx 2080 8gb Gddr6 Gigabyte Tarjeta De Video Nvidia A Meses,"23,520",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-649713439-rtx-2080-8gb-gddr6-evga-xc-ultra-nvidia-envio-gratis-_JM
65,Tarjeta De Video Nvidia Rtx 2080ti 11gb Hot Sale Mas Barata,"27,500",Baja California,https://articulo.mercadolibre.com.mx/MLM-649713439-rtx-2080-8gb-gddr6-evga-xc-ultra-nvidia-envio-gratis-_JM
66,Tarjeta De Video - Nvidia Geforce Rtx 2080 8gb Gddr6,"30,000",Baja California,https://articulo.mercadolibre.com.mx/MLM-663703999-tarjeta-de-video-asus-nvidia-geforce-rtx-2080-dual-oc-8gb-2-_JM
67,Msi T. Video Evga Nvidia Rtx 2080 8gb Gddr6 Xc Gaming 08g-p4,"21,603",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-663703999-tarjeta-de-video-asus-nvidia-geforce-rtx-2080-dual-oc-8gb-2-_JM
68,Tarjeta De Video Pny Xlr8 Oc Dual Fan Geforce Rtx2080 8gb,"21,999",Jalisco,https://articulo.mercadolibre.com.mx/MLM-677039436-tarjeta-de-video-zotac-geforce-rtx-2080-ti-amp-zt-t20810d-10-_JM
69,T. Video Zotac Nvidia Rtx 2080ti 11gb Gddr6 Zt-t20810d-10p,"30,427",Michoacán,https://articulo.mercadolibre.com.mx/MLM-677039436-tarjeta-de-video-zotac-geforce-rtx-2080-ti-amp-zt-t20810d-10-_JM
70,Msi T Video Gigabyte Nvidia Rtx2080 8gb Gddr6 Gv-n2080gaming,"20,755",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-649713366-rtx-2080-8gb-gddr6-evga-xc-ultra-a-meses-sin-intereses-_JM
71,Tarjeta De Video Asus Rtx2080 Dual Oc 8gb Dual-rtx2080-o8g,"18,999",Puebla,https://articulo.mercadolibre.com.mx/MLM-649713366-rtx-2080-8gb-gddr6-evga-xc-ultra-a-meses-sin-intereses-_JM
72,Msi T. Video Zotac Nvidia Rtx 2080 Blower 8gb Gddr6 Zt-t2080,"22,038",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-671153572-t-video-asus-rog-strix-nvidia-geforce-rtx-2080ti-advanced-1-_JM
73,Gigabyte Tarjeta De Video Geforce Rtx2080 Gaming Oc 8g Gddr6,"17,999",1 vendido - Puebla,https://articulo.mercadolibre.com.mx/MLM-671153572-t-video-asus-rog-strix-nvidia-geforce-rtx-2080ti-advanced-1-_JM
74,Msi T. Video Asus Dual Nvidia Rtx 2080 8gb Gddr6 Dual-rtx208,"20,646",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-661737484-tarjeta-de-video-nvidia-geforce-rtx-2080-asus-dual-oc-8gb-_JM
75,Tarjeta De Video - Nvidia Geforce Rtx 2080 8gb Gddr6,"30,000",Baja California,https://articulo.mercadolibre.com.mx/MLM-661737484-tarjeta-de-video-nvidia-geforce-rtx-2080-asus-dual-oc-8gb-_JM
76,Msi T. Video Zotac Nvidia Geforce Rtx 2080 Blower 8gb Gddr6,"17,946",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-658052284-msi-tvideo-asus-geforce-rtx-2080-turbo-8gbddr6256bit-turb-_JM
77,Msi T. Video Asus Dual Nvidia Rtx 2080ti 11gb Gddr6 Dual-rtx,"30,908",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-658052284-msi-tvideo-asus-geforce-rtx-2080-turbo-8gbddr6256bit-turb-_JM
